!EXCLAMATION-POINT	ˌɛ k s k l ə ˈm e ɪ ʃ ə n ˌp ɔ ɪ n t
OCCURRENCE	ə ˈk ɝː ə n s
OCCURRENCES	ə ˈk ɝː ə n s ɪ z
OCCURRING	ə ˈk ɝː ɪ ŋ
OCCURS	ə ˈk ɝː z
OCEAN	ˈo ʊ ʃ ə n
OCEAN'S	ˈo ʊ ʃ ə n z
OCEANA	o ʊ ʃ iː ˈæ n ə
OCEANEERING	ˌo ʊ ʃ ə ˈn ɪ r ɪ ŋ
OCEANFRONT	ˈo ʊ ʃ ə n ˌf r ə n t
OCEANGOING	ˈo ʊ ʃ ə n ˌg o ʊ ɪ ŋ
OCEANIA	ˌo ʊ ˌʃ iː ˈæ n j ə
OCEANIC	ˌo ʊ ʃ iː ˈæ n ɪ k
OCEANOGRAPHER	ˌo ʊ ʃ ə ˈn ɑː g r ə f ɝ
OCEANOGRAPHIC	ˌo ʊ ʃ ə n ə ˈg r æ f ɪ k
OCEANOGRAPHY	ˌo ʊ ʃ ə ˈn ɑː g r ə f i
OCEANS	ˈo ʊ ʃ ə n z
OCEANSIDE	ˈo ʊ ʃ ə n ˌs a ɪ d
OCEANVIEW	ˈo ʊ ʃ ə n v ˌj uː
OCELOT	ˈɑː s ə ˌl ɑː t
OCELOT'S	ˈɑː s ə ˌl ɑː t s
OCH	ˈɑː k
OCHELTREE	ɑː t ʃ ɪ l ˈt r iː
OCHOA	ˌɑː ˈt ʃ o ʊ ə
OCHOA	ˌo ʊ ˈt ʃ o ʊ ə
OCHRA	ˈɑː k r ə
OCHRE	ˈo ʊ k ɝ
OCHS	ˈɑː k s
OCHS	ˈo ʊ k s
OCHSENSCHLAGER	ˈɑː k s ə n ˌʃ l ɑː g ɝ
OCHSNER	ˈɑː k s n ɝ
OCILLA	o ʊ ˈs ɪ l ə
OCKER	ˈɑː k ɝ
OCKERBLOOM	ˈɑː k ɝ b l uː m
OCKERMAN	ˈɑː k ɝ m ə n
OCLAIR	o ʊ ˈk l ɝː
OCON	ə ˈk ɑː n
OCONNELL	o ʊ ˈk ɑː n ə l
OCONNER	o ʊ ˈk ɑː n ɝ
OCONNER'S	o ʊ ˈk ɑː n ɝ z
OCONNOR	o ʊ ˈk ɑː n ɝ
OCONNOR'S	o ʊ ˈk ɑː n ɝ z
OCT	ˈɔ k t
OCTAGON	ˈɑː k t ə ˌg ɑː n
OCTAGONAL	ɑː k ˈt æ g ə n ə l
OCTAHEDRAL	ˌɑː k t ə ˈh iː d r ə l
OCTAHEDRON	ˌɑː k t ə ˈh iː d r ə n
OCTANE	ˈɑː k t e ɪ n
OCTAVE	ˈɑː k t ɪ v
OCTAVES	ˈɑː k t ɪ v z
OCTAVIA	ɑː k ˈt e ɪ v iː ə
OCTAVIO	ˌɑː k ˈt e ɪ v iː o ʊ
OCTAVIUS	ɑː k ˈt e ɪ v iː ə s
OCTAVUS	ˈɑː k t ə v uː s
OCTEL	ˌɑː k ˈt ɛ l
OCTET	ɑː k ˈt ɛ t
OCTIAL	ˈɑː k t j ə l
OCTILLION	ɑː k ˈt ɪ l j ə n
OCTOBER	ɑː k ˈt o ʊ b ɝ
OCTOBER'S	ɑː k ˈt o ʊ b ɝ z
OCTOGENARIAN	ˌɑː k t ə d ʒ ɪ ˈn ɛ r iː ə n
OCTOPI	ˈɑː k t ə p a ɪ
OCTOPUS	ˈɑː k t ə ˌp ʊ s
OCTUPLET	ɑː k ˈt ʌ p l ə t
OCTUPLETS	ɑː k ˈt ʌ p l ə t s
OCULIST	ˈɔ k j uː ˌl ɪ s t
ODA	ˈo ʊ d ə
ODAIKO	o ʊ ˈd e ɪ k o ʊ
ODANIEL	ˈɑː d ə n iː l
ODAY	o ʊ ˈd e ɪ
ODD	ˈɑː d
ODDBALL	ˈɑː d ˌb ɔ l
ODDBALLS	ˈɑː d ˌb ɔ l z
ODDEN	ˈɑː d ə n
ODDER	ˈɑː d ɝ
ODDEST	ˈɑː d ə s t
ODDI	ˈɑː d i
ODDI	ˈo ʊ d i
ODDITIES	ˈɑː d ə t iː z
ODDITY	ˈɑː d ə t i
ODDLER	ˈɑː d l ɝ
ODDLER'S	ˈɑː d l ɝ z
ODDLY	ˈɑː d l i
ODDS	ˈɑː d z
ODDS-ON	ˈɑː d ˈz ɑː n
ODDSMAKER	ˈɑː d z ˌm e ɪ k ɝ
ODDSMAKERS	ˈɑː d z ˌm e ɪ k ɝ z
ODDY	ˈɑː d i
ODE	ˈo ʊ d
ODEA	ˈɑː d iː ə
ODED	ˈo ʊ d ɛ d
ODEGAARD	ˈɑː d ɪ g ɑː r d
ODEGARD	ˈɑː d ɪ g ɝ d
ODEKIRK	ˈɑː d ɪ k ɝ k
ODELE	o ʊ ˈd ɛ l i
ODELET	ˈɑː d ɪ l ɪ t
ODELETTE	ˈɑː d ɪ l ɛ t
ODELIA	o ʊ ˈd ɛ l iː ə
ODELINDA	o ʊ d ɛ ˈl iː n d ə
ODELL	o ʊ ˈd ɛ l
ODELLA	o ʊ ˈd ɛ l ə
ODEM	ˈo ʊ d ɪ m
ODEN	ˈo ʊ d ə n
ODENTHAL	ˈɑː d ɪ n θ ə l
ODEON	ˈo ʊ d iː ə n
ODER	ˈo ʊ d ɝ
ODES	ˈo ʊ d z
ODESSA	o ʊ ˈd ɛ s ə
ODETICS	o ʊ ˈd ɛ t ɪ k s
ODETTE	ˌo ʊ ˈd ɛ t
ODGERS	ˈɑː d ʒ ɝ z
ODIAUM	ˈo ʊ d iː ə m
ODIAUN	ˈo ʊ d iː ə n
ODIER	ˈo ʊ d iː ɝ
ODILIA	o ʊ ˈd iː l iː ə
ODIN	ˈo ʊ d ə n
ODIORNE	o ʊ d iː ˈɔ r n i
ODIOUS	ˈo ʊ d iː ə s
ODLAND	ˈɑː d l ə n d
ODLE	ˈo ʊ d ə l
ODNEAL	ˈo ʊ d ˌn iː l
ODOHERTY	o ʊ ˈd ɑː ɝ t i
ODOHERTY	o ʊ ˈd o ʊ ɝ t i
ODOLF	ə ˈd o ʊ l f
ODOM	ˈo ʊ d ə m
ODOMETER	ˌo ʊ ˈd ɑː m ə t ɝ
ODOMETERS	ˌo ʊ ˈd ɑː m ə t ɝ z
ODOMS	ˈo ʊ d ə m z
ODONALD	o ʊ ˈd ɑː n ə l d
ODONNEL	o ʊ ˈd ɑː n ə l
ODONNELL	o ʊ ˈd ɑː n ə l
ODONOGHUE	o ʊ ˈd ɑː n ə h j uː
ODONOGHUE	o ʊ ˈd ɑː n ə h uː
ODONOHUE	o ʊ ˈd ɑː n ə h j uː
ODONOVAN	o ʊ ˈd ɑː n ə v ə n
ODOR	ˈo ʊ d ɝ
ODORANT	ˈo ʊ d ɝ ə n t
ODORLESS	ˈo ʊ d ɝ l ə s
ODOROUS	ˈo ʊ d ɝ ə s
ODORS	ˈo ʊ d ɝ z
ODOUR	ˈo ʊ d ɝ
ODOURS	ˈo ʊ d ɝ s
ODOWD	o ʊ ˈd a ʊ d
ODP	ˈo ʊ ˈd iː ˈp iː
ODRISCOLL	o ʊ ˈd r ɪ s k ɑː l
ODUM	ˈo ʊ d ə m
ODWALLA	ɑː ˈd w ɑː l ə
ODWYER	o ʊ ˈd w a ɪ ɝ
ODYSSEUS	o ʊ ˈd ɪ s iː ə s
ODYSSEY	ˈɑː d ə s i
ODYSSEY'S	ˈɑː d ə s iː z
OEDIPAL	ˈɛ d ə p ə l
OEDIPUS	ˈɛ d ɪ p ə s
OEHLER	ˈo ʊ l ɝ
OEHLERT	ˈo ʊ l ɝ t
OEHLKE	ˈo ʊ l k
OEHME	ˈo ʊ m
OEHMEN	ˈo ʊ m ə n
OEHMENS	ˈo ʊ m ə n z
OEHRLEIN	ˈɔ r l a ɪ n
OEIEN	ˈo ʊ iː ə n
OELKE	ˈo ʊ l k
OELKERS	ˈo ʊ l k ɝ z
OELMAN	ˈo ʊ l m ə n
OELRICH	ˈo ʊ l r ɪ k
OELSCHLAGER	ˈo ʊ l ʃ l e ɪ g ɝ
OENOPHILE	ˈiː n ə ˌf a ɪ l
OERLIKON	ˈɔ r l ɪ ˌk ɑː n
OERTEL	ˈɔ r t ə l
OESCH	ˈo ʊ ʃ
OESER	ˈo ʊ z ɝ
OEST	ˈo ʊ ɪ s t
OESTERLE	ˈo ʊ s t ɝ ə l
OESTERLING	ˈo ʊ s t ɝ l ɪ ŋ
OESTERREICH	ˈo ʊ s t ɝ a ɪ k
OESTERREICHISCHE	ˌo ʊ s t ɝ ˈa ɪ k ɪ ʃ i
OESTREICH	ˈo ʊ ˌs t r a ɪ k
OESTREICHER	ˈo ʊ ˌs t r a ɪ k ɝ
OETKEN	ˈo ʊ t k ə n
OETTING	ˈo ʊ t ɪ ŋ
OETTINGER	ˈo ʊ t ɪ n d ʒ ɝ
OETTINGER	ˈo ʊ t ɪ ŋ ɝ
OEUVRE	ˈuː v r ə
OEUVRE	ˈɝː v
OF	ˈʌ v
OF	ə v
OFALLON	o ʊ ˈf æ l ə n
OFARRELL	o ʊ ˈf ɛ r ə l
OFARRELL	o ʊ ˈf æ r ə l
OFC	ˈo ʊ ˈɛ f ˈs iː
OFELIA	o ʊ ˈf e ɪ l iː ə
OFER	ˈo ʊ f ɝ
OFF	ˈɔ f
OFF'S	ˈɔ f s
OFF-DAY	ˈɔ f ˌd e ɪ
OFF-DUTY	ˌɔ f ˈd uː t i
OFF-LIMITS	ˌɔ ˈf l ɪ m ɪ t s
OFF-LINE	ˈɔ ˌf l a ɪ n
OFF-SIDE	ˈɔ f ˌs a ɪ d
OFFBEAT	ˈɔ f ˈb iː t
OFFEN	ˈɔ f ə n
OFFEND	ə ˈf ɛ n d
OFFENDED	ə ˈf ɛ n d ə d
OFFENDED	ə ˈf ɛ n d ɪ d
OFFENDER	ə ˈf ɛ n d ɝ
OFFENDERS	ə ˈf ɛ n d ɝ z
OFFENDING	ə ˈf ɛ n d ɪ ŋ
OFFENDS	ə ˈf ɛ n d z
OFFENSE	ə ˈf ɛ n s
OFFENSES	ə ˈf ɛ n s ɪ z
OFFENSIVE	ə ˈf ɛ n s ɪ v
OFFENSIVELY	ə ˈf ɛ n s ɪ v l i
OFFENSIVES	ə ˈf ɛ n s ɪ v z
OFFER	ˈɔ f ɝ
OFFER'S	ˈɔ f ɝ z
OFFERDAHL	ˈɑː f ɝ d ɑː l
OFFERED	ˈɔ f ɝ d
OFFERER	ˈɔ f ɝ ɝ
OFFERERS	ˈɔ f ɝ ɝ z
OFFERING	ˈɔ f ɝ ɪ ŋ
OFFERING	ˈɔ f r ɪ ŋ
OFFERING'S	ˈɔ f ɝ ɪ ŋ z
OFFERING'S	ˈɔ f r ɪ ŋ z
OFFERINGS	ˈɔ f ɝ ɪ ŋ z
OFFERINGS	ˈɔ f r ɪ ŋ z
OFFERMAN	ˈɔ f ɝ m ə n
OFFERMANN	ˈɔ f ɝ m ə n
OFFERS	ˈɔ f ɝ z
OFFHAND	ˈɔ f ˈh æ n d
OFFICE	ˈɔ f ə s
OFFICE'S	ˈɔ f ə s ɪ z
OFFICEHOLDER	ˈɔ f ə s ˌh o ʊ l d ɝ
OFFICEHOLDERS	ˈɔ f ə s ˌh o ʊ l d ɝ z
OFFICEMAX	ˈɔ f ə ˌs m æ k s
OFFICER	ˈɔ f ə s ɝ
OFFICER	ˈɔ f ɪ s ɝ
OFFICER'S	ˈɔ f ɪ s ɝ z
OFFICERS	ˈɔ f ə s ɝ z
OFFICERS	ˈɔ f ɪ s ɝ z
OFFICERS'	ˈɔ f ɪ s ɝ z
OFFICES	ˈɔ f ə s ə z
OFFICES	ˈɔ f ə s ɪ z
OFFICIAL	ə ˈf ɪ ʃ ə l
OFFICIAL'S	ə ˈf ɪ ʃ ə l z
OFFICIALDOM	ə ˈf ɪ ʃ ə l d ə m
OFFICIALLY	ə ˈf ɪ ʃ ə l i
OFFICIALS	ə ˈf ɪ ʃ ə l z
OFFICIALS'	ə ˈf ɪ ʃ ə l z
OFFICIATE	ə ˈf ɪ ʃ iː ˌe ɪ t
OFFICIATED	ə ˈf ɪ ʃ iː ˌe ɪ t ə d
OFFICIATES	ə ˈf ɪ ʃ iː ˌe ɪ t s
OFFICIATING	ə ˈf ɪ ʃ iː ˌe ɪ t ɪ ŋ
OFFICIO	ə ˈf ɪ s iː o ʊ
OFFIELD	ˈɑː ˌf iː l d
OFFILL	ˈɔ ˌf ɪ l
OFFING	ˈɔ f ɪ ŋ
OFFLIMIT	ˌɔ ˈf l ɪ m ɪ t
OFFLIMITS	ˌɔ ˈf l ɪ m ɪ t s
OFFLINE	ˈɔ ˌf l a ɪ n
OFFNER	ˈɑː f n ɝ
OFFORD	ˈɑː f ɝ d
OFFS	ˈɔ f s
OFFSET	ɔ f ˈs ɛ t
OFFSET	ˈɔ f ˌs ɛ t
OFFSETS	ˈɔ f ˌs ɛ t s
OFFSETTING	ɔ f ˈs ɛ t ɪ ŋ
OFFSETTING	ˈɔ f ˌs ɛ t ɪ ŋ
OFFSHOOT	ˈɔ f ˌʃ uː t
OFFSHOOTS	ˈɔ f ˌʃ uː t s
OFFSHORABLE	ˈɔ f ˈʃ ɔ ˌr ə b ə l
OFFSHORE	ˈɔ f ˈʃ ɔ r
OFFSHORED	ˈɔ f ˈʃ ɔ r d
OFFSPRING	ˈɔ f ˌs p r ɪ ŋ
OFFSTAGE	ˈɔ f ˈs t e ɪ d ʒ
OFFUTT	ˈɑː f ə t
OFILIA	o ʊ ˈf iː l iː ə
OFLAHERTY	o ʊ ˈf l e ɪ h ɝ t i
OFLAHERTY	o ʊ ˈf l e ɪ ɝ t i
OFLYNN	o ʊ ˈf l ɪ n
OFT	ˈɔ f t
OFTEDAHL	ˈɑː f t ɪ d ɑː l
OFTEL	ˈɑː f ˌt ɛ l
OFTEN	ˈɔ f t ə n
OFTEN	ˈɔ f ə n
OFTENER	ˈɔ f t ə n ɝ
OFTENER	ˈɔ f ə n ɝ
OFTENTIMES	ˈɔ f t ə n ˌt a ɪ m z
OFTENTIMES	ˈɔ f ə n ˌt a ɪ m z
OG	ˈɑː g
OGAN	ˈo ʊ g ə n
OGARA	ˌo ʊ ˈg ɑː ˌr ɑː
OGATA	ˌo ʊ ˈg ɑː ˌt ɑː
OGAWA	ˌo ʊ ˈg ɑː ˌw ɑː
OGBORN	ˈɑː g b ɝ n
OGBURN	ˈɑː g b ɝ n
OGDEN	ˈɑː g d ə n
OGDEN'S	ˈɑː g d ə n z
OGG	ˈɑː g
OGIER	ˈo ʊ g iː ɝ
OGILVIE	ˈɑː d ʒ ɪ l v i
OGILVIE	ˌo ʊ ˈg ɪ l v i
OGILVY	ˈo ʊ g ə l v i
OGILVY'S	ˈo ʊ g ə l v iː z
OGLALA	o ʊ ˈg l ɑː l ə
OGLE	ˈo ʊ g ə l
OGLEBAY	ˈo ʊ g ə l ˌb e ɪ
OGLED	ˈo ʊ g ə l d
OGLES	ˈo ʊ g ə l z
OGLESBEE	ˈo ʊ g ə l z ˌb iː
OGLESBY	ˈɑː g ə l s b i
OGLETHORPE	ˈo ʊ g ə l ˌθ ɔ r p
OGLETREE	ˈo ʊ g ə l ˌt r iː
OGNIBENE	o ʊ g n iː ˈb ɛ n ə
OGONI	o ʊ ˈg o ʊ n i
OGONYOK	o ʊ ˈg o ʊ n j ɑː k
OGORMAN	o ʊ ˈg ɔ r m ə n
OGRADY	o ʊ ˈg r e ɪ d i
OGRE	ˈo ʊ g ɝ
OGREN	ˈɑː g r ɛ n
OGRESS	ˈo ʊ g r ə s
OGUIN	o ʊ ˈg uː iː n
OGUINN	o ʊ ˈg w ɪ n
OH	ˈo ʊ
OH'S	ˈo ʊ z
OHAGAN	o ʊ ˈh ɑː g ə n
OHAGAN	o ʊ ˈh e ɪ g ə n
OHAIR	o ʊ ˈh ɛ r
OHALLORAN	o ʊ ˈh æ l ɝ ə n
OHANESIAN	o ʊ h ə ˈn ɛ ʒ ɪ n
OHANIAN	o ʊ ˈh e ɪ n iː ə n
OHANLON	o ʊ ˈh æ n l ə n
OHARA	o ʊ ˈh ɛ r ə
OHARA'S	o ʊ ˈh ɛ r ə z
OHARE	o ʊ ˈh ɛ r
OHARRA	o ʊ ˈh ɝː ə
OHASHI	o ʊ ˈh ɑː ʃ i
OHAVER	o ʊ ˈh e ɪ v ɝ
OHBA	ˈo ʊ b ə
OHBAYASHI	ˌo ʊ b ɑː ˈj ɑː ʃ i
OHEARN	o ʊ ˈh ɝː n
OHERN	o ʊ ˈh ɝː n
OHERRON	o ʊ ˈh ɛ r ə n
OHH	ˈo ʊ
OHIO	o ʊ ˈh a ɪ o ʊ
OHIO'S	o ʊ ˈh a ɪ o ʊ z
OHIOAN	ˌo ʊ ˈh a ɪ ˌo ʊ ə n
OHIOANS	ˌo ʊ ˈh a ɪ ˌo ʊ ə n z
OHKAWARA	ˌo ʊ ˌk ɑː ˈw ɑː r ə
OHL	ˈo ʊ l
OHLAND	ˈo ʊ l ə n d
OHLENDORF	ˈo ʊ l ɪ n d ɔ r f
OHLER	ˈo ʊ l ɝ
OHLIN	ˈo ʊ l ɪ n
OHLINGER	ˈo ʊ l ɪ ŋ ɝ
OHLMAN	ˈo ʊ l m ə n
OHLMANN	ˈo ʊ l m ə n
OHLMEYER	ˈo ʊ l ˌm a ɪ r
OHLRICH	ˈo ʊ l r ɪ k
OHLSEN	ˈo ʊ l s ə n
OHLSON	ˈo ʊ l s ə n
OHLSSON	ˈo ʊ l s ə n
OHM	ˈo ʊ m
OHM'S	ˈo ʊ m z
OHMAE	ˈo ʊ ˌm e ɪ
OHMAN	ˈo ʊ m ə n
OHMANN	ˈo ʊ m ə n
OHMER	ˈo ʊ m ɝ
OHMS	ˈo ʊ m z
OHMURA	o ʊ ˈm uː r ə
OHNEMUS	ˈo ʊ n ɪ m ɪ s
OHNSTAD	ˈo ʊ n s t ə d
OHR	ˈɔ r
OHRT	ˈɔ r t
OHS	ˈo ʊ z
OI	ˈɔ ɪ
OIE	ˈɔ ɪ
OIEN	ˈɑː iː n
OIL	ˈɔ ɪ l
OIL'S	ˈɔ ɪ l z
OILED	ˈɔ ɪ l d
OILER	ˈɔ ɪ l ɝ
OILERS	ˈɔ ɪ l ɝ z
OILFIELD	ˈɔ ɪ l ˌf iː l d
OILFIELDS	ˈɔ ɪ l ˌf iː l d z
OILING	ˈɔ ɪ l ɪ ŋ
OILMAN	ˈɔ ɪ l ˌm æ n
OILMEN	ˈɔ ɪ l ˈm ɛ n
OILS	ˈɔ ɪ l z
OILSEED	ˈɔ ɪ l ˌs iː d
OILSEEDS	ˈɔ ɪ l ˌs iː d z
OILWELL	ˈɔ ɪ l ˌw ɛ l
OILY	ˈɔ ɪ l i
OINTMENT	ˈɔ ɪ n t m ə n t
OISHI	o ʊ ˈiː ʃ i
OJ	ˈo ʊ ˈd ʒ e ɪ
OJA	ˈo ʊ j ə
OJALA	o ʊ ˈj ɑː l ə
OJEDA	o ʊ ˈj e ɪ d ə
OJI	ˈo ʊ d ʒ i
OJIBWA	o ʊ ˈd ʒ ɪ b w ə
OK	ˈo ʊ ˈk e ɪ
OKA	ˈo ʊ k ə
OKABE	o ʊ ˈk ɑː b e ɪ
OKADA	o ʊ ˈk ɑː d ə
OKALOOSA	ˌɔ k ə ˈl uː s ə
OKALOOSA	ˌo ʊ k ə ˈl uː s ə
OKAMOTO	ˌo ʊ k ə ˈm o ʊ t o ʊ
OKAMURA	ˌo ʊ k ə ˈm ʊ r ə
OKANE	o ʊ ˈk e ɪ n
OKANO	o ʊ ˈk ɑː n o ʊ
OKASAKI	ˌo ʊ k ə ˈs ɑː k i
OKASAN	o ʊ ˈk e ɪ z ə n
OKAY	ˌo ʊ ˈk e ɪ
OKAYED	ˌo ʊ ˈk e ɪ d
OKAYS	ˌo ʊ ˈk e ɪ z
OKAZ	o ʊ ˈk ɑː z
OKAZAKI	o ʊ k ɑː ˈz ɑː k i
OKDO	ˈɔ k ˌd o ʊ
OKEECHOBEE	o ʊ ˌk iː ˈt ʃ o ʊ b i
OKEEFE	o ʊ ˈk iː f
OKEEFFE	o ʊ ˈk iː f
OKELLEY	o ʊ ˈk ɛ l i
OKELLY	o ʊ ˈk ɛ l i
OKEN	o ʊ ˈk e ɪ ə n
OKERLUND	ˈɑː k ɝ l ə n d
OKESON	ˈo ʊ k ɪ s ə n
OKEY	ˈo ʊ k i
OKEY-DOKEY	ˈo ʊ k iː ˈd o ʊ k i
OKI	ˈo ʊ k i
OKIE	ˈo ʊ k i
OKIMOTO	o ʊ k iː ˈm o ʊ t o ʊ
OKIN	ˈo ʊ k ɪ n
OKINAWA	ˌo ʊ ˌk ɪ ˈn ɑː w ə
OKINAWA	ˌo ʊ k iː ˈn ɑː w ə
OKINAWANS	ˌo ʊ ˌk ɪ ˈn ɑː w ə n z
OKINAWANS	ˌo ʊ ˌk iː ˈn ɑː w ə n z
OKLAHOMA	ˌo ʊ k l ə ˈh o ʊ m ə
OKLAHOMA'S	ˌo ʊ k l ə ˈh o ʊ m ə z
OKLAHOMAN	ˌo ʊ k l ə ˈh o ʊ m ə n
OKLAHOMANS	ˌo ʊ k l ə ˈh o ʊ m ə n z
OKON	ˈo ʊ k o ʊ n
OKONIEWSKI	o ʊ ˌk ɑː n ˈj ɛ f s k i
OKONIEWSKI	ˌo ʊ k ə ˈn uː s k i
OKONSKI	ə ˈk ɑː n s k i
OKPO	ˈɑː k p o ʊ
OKRA	ˈo ʊ k r ə
OKRAY	ˈɑː k r e ɪ
OKSANA	ˌɑː k ˈs æ n ə
OKSANA'S	ˌɑː k ˈs æ n ə z
OKSENBERG	ˈɑː k s ə n b ɝ g
OKUBO	o ʊ ˈk uː b o ʊ
OKUDA	o ʊ ˈk uː d ə
OKUMA	o ʊ ˈk j uː m ɝ
OKUMURA	o ʊ k uː ˈm ʊ r ə
OKUN	ˈo ʊ k uː n
OKUNO	o ʊ ˈk j uː n o ʊ
OKURA	o ʊ ˈk uː r ə
OKUROWSKI	o ʊ k ɝ ˈo ʊ s k i
OKWU	ˈɔ k w uː
OL'	ˈo ʊ l
OLA	ˈo ʊ l ə
OLACK	ˈo ʊ l æ k
OLAF	ˈo ʊ l ɑː f
OLAFSON	ˈo ʊ l ə f s ə n
OLAGUE	ˈo ʊ l ɑː g
OLAH	ə ˈl ɑː
OLAH	ˈo ʊ l ə
OLAJUWON	ə ˈl a ɪ d ʒ uː ˌɑː n
OLAJUWON'S	ə ˈl a ɪ d ʒ uː ˌɑː n z
OLAND	ˈɑː l ə n d
OLANDER	ˈɑː l ə n d ɝ
OLANO	ə ˈl ɑː n o ʊ
OLASKY	o ʊ ˈl æ s k i
OLATHE	o ʊ ˈl æ θ i
OLAUGHLIN	o ʊ ˈl ɔ k l ɪ n
OLAY	o ʊ ˈl e ɪ
OLAYAN	o ʊ ˈl a ɪ ə n
OLBERDING	ˈo ʊ l b ɝ d ɪ ŋ
OLBRICH	ˈo ʊ l b r ɪ k
OLCOTT	ˈo ʊ l k ə t
OLCZAK	ˈo ʊ l t ʃ æ k
OLD	ˈo ʊ l d
OLD'S	ˈo ʊ l d z
OLD-FASHIONED	ˌo ʊ l d ˈf æ ʃ ə n d
OLD-GROWTH	ˌo ʊ l d ˈg r o ʊ θ
OLD-SCHOOL	ˌo ʊ l d ˈs k uː l
OLD-TIMER	ˌo ʊ l d ˈt a ɪ m ɝ
OLD-TIMERS	ˌo ʊ l d ˈt a ɪ m ɝ z
OLDAKER	ˈo ʊ l d ə k ɝ
OLDANI	o ʊ l ˈd ɑː n i
OLDE	ˈo ʊ l d
OLDEN	ˈo ʊ l d ə n
OLDENBURG	ˈo ʊ l d ə n b ɝ g
OLDENKAMP	ˈo ʊ l d ɪ n k æ m p
OLDER	ˈo ʊ l d ɝ
OLDEST	ˈo ʊ l d ə s t
OLDFASHIONED	ˌo ʊ l d ˈf æ ʃ ə n d
OLDFATHER	ˈo ʊ l d ˌf ɑː ð ɝ
OLDFIELD	ˈo ʊ l d ˌf iː l d
OLDHAM	ˈo ʊ l d ə m
OLDHAM'S	ˈo ʊ l d ə m z
OLDIE	ˈo ʊ l d i
OLDIES	ˈo ʊ l d iː z
OLDMAN	ˈo ʊ l d m ə n
OLDROYD	ˈo ʊ l ˌd r ɔ ɪ d
OLDS	ˈo ʊ l d z
OLDSMAR	ˈo ʊ l d z m ɑː r
OLDSMOBILE	ˈo ʊ l d z m o ʊ ˌb iː l
OLDSMOBILE'S	ˈo ʊ l d z m o ʊ ˌb iː l z
OLDSMOBILE'S	ˈo ʊ l z m o ʊ ˌb iː l z
OLDSMOBILES	ˈo ʊ l d z m o ʊ ˌb iː l z
OLDSTER	ˈo ʊ l d s t ɝ
OLDSTERS	ˈo ʊ l d s t ɝ z
OLDT	ˈo ʊ l t
OLE	ˈo ʊ l
OLE	ˌo ʊ ˈl e ɪ
OLEA	ˈɑː l iː ə
OLEA	o ʊ ˈl iː
OLEAGINOUS	ˌo ʊ l iː ˈæ d ʒ ə n ə s
OLEAN	o ʊ ˈl iː n
OLEANDER	ˈo ʊ l iː ˌæ n d ɝ
OLEANDRIN	o ʊ l iː ˈæ n d r ɪ n
OLEAR	o ʊ ˈl ɪ r
OLEARY	o ʊ ˈl ɪ r i
OLEASTER	ˌo ʊ l iː ˈæ s t ɝ
OLEFIN	ˈo ʊ l ə f ɪ n
OLEFINS	ˈo ʊ l ə f ɪ n z
OLEG	ˈo ʊ l ə g
OLEJNICZAK	ə ˈl e ɪ n ɪ t ʃ æ k
OLEJNIK	ə ˈl e ɪ n ɪ k
OLEKSIAK	ə ˈl ɛ k s iː æ k
OLEKSY	ə ˈl ɛ k s i
OLEN	ˈɑː l ə n
OLENDER	ˈɑː l ɛ n d ɝ
OLENICK	ˈɑː l ɪ n ɪ k
OLENIK	ˈɑː l ɪ n ɪ k
OLEO	ˈo ʊ l iː ˌo ʊ
OLEOYL	ˌo ʊ l iː ˈɔ ɪ l
OLEOYLS	ˌo ʊ l iː ˈɔ ɪ l z
OLER	ˈo ʊ l ɝ
OLES	ˈo ʊ l z
OLES	ˌo ʊ ˈl e ɪ z
OLESEN	ˈɑː l iː z ə n
OLESKE	ˈo ʊ l ə s k i
OLESKY	ə ˈl ɛ s k i
OLESON	ˈɑː l ɪ s ə n
OLESTRA	o ʊ ˈl ɛ s t r ə
OLEXA	ə ˈl iː k s ə
OLEXSON	ˈo ʊ l ə k s ə n
OLEY	ˈo ʊ l i
OLFACTORY	o ʊ l ˈf æ k t ɝ i
OLGA	ˈo ʊ l g ə
OLGUIN	ˈo ʊ l g ɪ n
OLICK	ˈo ʊ l ɪ k
OLIFF	ˈɑː l ɪ f
OLIGARCH	ˈo ʊ l ɪ ˌg ɑː r k
OLIGARCHS	ˈo ʊ l ɪ ˌg ɑː r k s
OLIGARCHY	ˈɑː l ə ˌg ɑː r k i
OLIGER	ˈɑː l ɪ g ɝ
OLIGOCENE	ˈɑː l ə g o ʊ ˌs iː n
OLIGOPOLISTIC	o ʊ ˌl ɪ g ə p o ʊ ˈl ɪ s t ɪ k
OLIGOPOLY	ˌɑː l ɪ ˈg ɑː p ə l i
OLIN	ˈo ʊ l ɪ n
OLIN'S	ˈo ʊ l ɪ n z
OLINDA	o ʊ ˈl iː n d ə
OLINDE	ˈɑː l ɪ n d
OLINGER	ˈɑː l ɪ ŋ ɝ
OLIPHANT	ˈɑː l ɪ f ə n t
OLIVA	o ʊ ˈl iː v ə
OLIVARES	o ʊ l iː ˈv ɑː r ɛ s
OLIVAREZ	o ʊ l iː ˈv ɑː r ɛ z
OLIVAS	o ʊ ˈl iː v ɑː z
OLIVE	ˈɑː l ə v
OLIVE	ˈɑː l ɪ v
OLIVEIRA	ˌɑː l ɪ ˈv e ɪ r ə
OLIVER	ˈɑː l ə v ɝ
