1/2	h ˈɑ f
neighboring	n ˈe ɪ b ɚ ɪ ŋ
neighbors	n ˈe ɪ b ɚ z
neighbour	n ˈe ɪ b ɚ
neighbourhood	n ˈe ɪ b ɚ h ˌʊ d
neighbouring	n e ɪ b ɚ i ŋ
neighbours	n ˈe ɪ b ɚ z
neither	n ˈi ð ɚ
neon	n ˈi ɑ n
nepal	n ɪ p ˈɔ l
neptune	n ˈɛ p t u n
nervous	n ˈɚ v ə s
nervously	n ˈɚ v ə s l i
nervy	n ˈɚ v i
nest	n ˈɛ s t
nesting	n ˈɛ s t ɪ ŋ
nests	n ˈɛ s t s
net	n ˈɛ t
nether	n ˈɛ ð ɚ
netherite	n ˈɛ ð ɚ ˌa ɪ t
nets	n ˈɛ t s
never	n ˈɛ v ɚ
new	n j ˈu
news	n j ˈu z
newspaper	n ˈu z p ˌe ɪ p ɚ
newspapers	n ˈu z p ˌe ɪ p ɚ z
newt	n ˈu t
next	n ˈɛ k s t
nib	n ˈɪ b
nib's	n ˈɪ b z
nibble	n ˈɪ b ə l
nibbling	n ˈɪ b l ɪ ŋ
nice	n ˈa ɪ s
nicely	n ˈa ɪ s l i
nicked	n ˈɪ k t
nicks	n i k s
nidhogg	n ˈɪ d h ˌɔ ɡ
night	n ˈa ɪ t
night's	n ˈa ɪ t s
nightfall	n ˈa ɪ t f ˌɔ l
nightly	n ˈa ɪ t l i
nightmare	n ˈa ɪ t m ˌɛ ɹ
nights	n ˈa ɪ t s
nighttime	n ˈa ɪ t t ˌa ɪ m
nimbly	n ˈɪ m b l i
nine	n ˈa ɪ n
nineteen	n ˈa ɪ n t ˈi n
nineties	n ˈa ɪ n t i z
ninety	n ˈa ɪ n t i
nip	n ˈɪ p
nip's	n ˈɪ p s
nips	n ˈɪ p s
nit	n i t
nitwit	n ˈɪ t w ɪ t
nng	n ŋ ɡ
nnk	n ŋ k
nnn	n n
no	n ˈo ʊ
noble	n ˈo ʊ b ə l
nobody	n ˈo ʊ b ˌɑ d i
nod	n ˈɑ d
nodded	n ˈɑ d d ɪ d
nodding	n ˈɑ d d ɪ ŋ
nods	n ˈɑ d z
noise	n ˈɔ ɪ z
noises	n ˈɔ ɪ z ɪ z
noisy	n ˈɔ ɪ z i
non	n ˈɑ n
non-fiction	n ˈɑ n f ˈɪ k ʃ ə n
none	n ˈʌ n
nones	n ˈo ʊ n z
nonhuman	n ɑ n h j ˈu m ə n
nonsense	n ˈɑ n s ɛ n s
nonstop	n ˌɑ n s t ˈɑ p
noodle	n ˈu d ə l
noodles	n ˈu d ə l z
nook	n ˈʊ k
noon	n ˈu n
nope	n ˈo ʊ p
nor	n ˈɔ ɹ
normal	n ˈɔ ɹ m ə l
norse	n ˈɔ ɹ s
nose	n ˈo ʊ z
noses	n ˈo ʊ z ɪ z
nostril	n ˈɑ s t ɹ ɪ l
nostrils	n ˈɑ s t ɹ ə l z
not	n ˈɑ t
note	n ˈo ʊ t
notepad	n ˈo ʊ t p ˌæ d
notes	n o ʊ t s
nothing	n ˈʌ θ ɪ ŋ
notice	n ˈo ʊ t ɪ s
noticed	n ˈo ʊ t ɪ s t
notices	n ˈo ʊ t ˈɪ s ə z
noun	n ˈa ʊ n
novel	n ˈɑ v ə l
novels	n ˈɑ v ə l z
november	n o ʊ v ˈɛ m b ɚ
now	n ˈa ʊ
nowhere	n ˈo ʊ w ˌɛ ɹ
nowheres	n ˈɔ f ɚ z
noxious	n ˈɑ k ʃ ə s
ntil	ʌ n t ˈɪ l
nudge	n ˈʌ d͡ʒ
nudged	n ˈʌ d͡ʒ d
number	n ˈʌ m b ɚ
numbers	n ʌ m b ɚ z
nurse	n ˈɚ s
nut	n ˈʌ t
nutrient	n ˈu t ɹ i ə n t
nutrients	n ˈu t ɹ i ə n t s
nuts	n ˈʌ t s
nymph	n ˈɪ m f
o	ˈo ʊ
o'clock	o ʊ k l ˈɑ k
o-a	ˈo ʊ ˈe ɪ
o-i	ˈo ʊ ˈa ɪ
o-o	ˈo ʊ ˈo ʊ
o-u	ˈo ʊ w j ˈu
o-u-g-h	ˈo ʊ w j ˈu d͡ʒ ˈi ˈe ɪ t͡ʃ
o-w	ˈo ʊ d ˈʌ b ə l j ˌu
o-y	ˈo ʊ w ˈa ɪ
oak	ˈo ʊ k
oath	ˈo ʊ θ
obey	o ʊ b ˈe ɪ
object	ˈɑ b d͡ʒ ɛ k t
object	ə b d͡ʒ ˈɛ k t
objected	ə b d͡ʒ ˈɛ k t ɪ d
objects	ə b d͡ʒ ˈɛ k t s
objects	ˈɑ b d͡ʒ ɛ k t s
obligation	ˌɑ b l ə ɡ ˈe ɪ ʃ ə n
obliged	ə b l ˈa ɪ d͡ʒ d
obnoxiously	ˈɑ b n ˈɑ k s i ˈɔ s l i
observing	ə b z ˈɚ v ɪ ŋ
obsidian	ə b s ˈɪ d i ə n
obtained	ˈɑ b t ˈe ɪ n d
obvious	ˈɑ b v i ə s
occasion	ɔ k ˈe ɪ ʒ ə n
occasions	ɔ k ˈe ɪ ʒ ə n z
occupant	ˈɑ k j ə p ə n t
occupants	ˈɑ k j ə p ə n t s
occupation	ˌɑ k j ə p ˈe ɪ ʃ ə n
occur	ə k ˈɚ
occurred	ə k ˈɚ d
occurs	ə k ˈɚ z
ocean	ˈo ʊ ʃ ə n
oceans	ˈo ʊ ʃ ə n z
ocelot	ɑ s ə l ɑ t
ocelots	ɑ s ə l ɑ t z
octopus	ˈɑ k t ə p ˌʊ s
octopuses	ˈɑ k t ə p ə s ɪ z
odd	ˈɑ d
odds	ˈɑ d z
of	ə v
off	ˈɔ f
offer	ˈɔ f ɚ
offered	ˈɔ f f ɚ d
offering	ˈɔ f ɚ ɹ ɪ ŋ
offers	ˈɔ f ɚ z
office	ˈɔ f ɪ s
often	ˈɔ f t ə n
oftens	ˈɔ f t ə n z
oh	ˈo ʊ
ohh	ˈo ʊ
oi	ˈɔ ɪ
oil	ˈɔ ɪ l
oink	ˈɔ ɪ n k
oinking	ˈɔ ɪ ŋ k ɪ ŋ
ok	ˈo ʊ k ˈe ɪ
okay	ˌo ʊ k ˈe ɪ
old	ˈo ʊ l d
older	ˈo ʊ l d ɚ
oldest	o ʊ l d ɪ s t
omen	ˈo ʊ m ə n
ominous	ˈɑ m ɪ n ə s
omit	o ʊ m ˈɪ t
omnivores	ˈɑ m n ˈɪ v ˈɔ ɹ z
on	ˈɔ n
once	w ˈʌ n s
one	w ˈʌ n
one's	w ˈʌ n z
one-legged	w ˈʌ n l ˈɛ ɡ ɡ d
ones	w ˈʌ n z
onion	ˈʌ n j ə n
only	ˈo ʊ n l i
ons	ˈɑ n z
onslaught	ˈɔ n s l ˌɔ ɹ t
onto	ˈɔ n t u
oo	ˈʊ
ood	w ˈʊ d
oomph	ˈu m f
ooo	ˈu
oops	ˈu p s
open	ˈo ʊ p ə n
opened	ˈo ʊ p ə n d
opening	ˈo ʊ p ə n ɪ ŋ
opens	ˈo ʊ p ə n z
operation	ˌɑ p ɚ ɹ ˈe ɪ ʃ ə n
opinion	ə p ˈɪ n j ə n
opossum	o ʊ p ˈɑ s ə m
opportunity	ˌɑ p ɚ t ˈu n ɪ t i
opposable	ə p p ˈo ʊ z ə b ə l
opposing	ə p ˈo ʊ z ɪ ŋ
opposite	ˈɑ p ə z ɪ t
option	ˈɑ p ʃ ə n
optional	ˈɑ p ʃ ə n ə l
options	ˈɑ p ʃ ə n z
or	ˈɔ ɹ
orange	ˈɔ ɹ ɪ n d͡ʒ
orangutan	ˈɑ ɹ ˈæ ŋ ˈu t ˈæ n
orangutans	ˈɑ ɹ ˈæ ŋ ˈu t ˈæ n z
orb	ˈɔ ɹ b
orbit	ˈɔ ɹ b ɪ t
orbs	ˈɔ ɹ b z
orcas	ˈɔ ɹ k ə z
orchids	ˈɔ ɹ k ɪ d z
order	ˈɔ ɹ d ɚ
orders	ˈɔ ɹ d ɚ z
ore	ˈɔ ɹ
organ	ˈɔ ɹ ɡ ə n
organisations	ˈɑ ɹ ɡ ə n ˈa ɪ z ˈe ɪ ʃ ə n z
organise	ˈɔ ɹ ɡ ə n a ɪ s
organisms	ˈɔ ɹ ɡ ə n ˌɪ z ə m z
organizations	ˈɑ ɹ ɡ ə n ˈa ɪ z ˈe ɪ ʃ ə n z
organize	ˈɔ ɹ ɡ ə n a ɪ z
organs	ˈɔ ɹ ɡ ə n z
originate	ɚ ɹ ˈɪ d͡ʒ ə n ˌe ɪ t
originated	ɚ ɹ ˈɪ d͡ʒ ə n ˌe ɪ t ɪ d
originates	ɚ ɹ ˈɪ d͡ʒ ə n ˌe ɪ t s
ornaments	ˈɔ ɹ n ə m ə n t s
other	ˈʌ ð ɚ
other's	ˈʌ ð ɚ z
others	ˈʌ ð ɚ z
otherwise	ˈʌ ð ɚ w ˌa ɪ z
otter	ˈɑ t ɚ
otters	ˈɑ t ɚ z
ouch	ˈa ʊ t͡ʃ
ought	ˈɔ t
ounces	ˈa ʊ n s ɪ z
our	ˈa ʊ ɚ
ours	ˈa ʊ ɚ z
ourself	a ʊ ɚ s ˈɛ l f
ourselves	a ʊ ɚ s ɛ l v z
out	ˈa ʊ t
outer	ˈa ʊ t ɚ
outfit	ˈa ʊ t f ˌɪ t
outfits	ˌa ʊ t f i t s
outline	ˈa ʊ t l ˌa ɪ n
outmatched	ˈa ʊ t m ˈæ t͡ʃ t
outraged	ˈa ʊ t ɹ ˌe ɪ d͡ʒ d
outrun	a ʊ t ɹ ˈʌ n
outs	ˈa ʊ t s
outside	a ʊ t s ˈa ɪ d
outsmarted	ˈa ʊ t s m ˌɑ ɹ t ɪ d
outstanding	ˌa ʊ t s t ˈæ n d ɪ ŋ
outstandings	ˈa ʊ t s t ˈæ n d ɪ ŋ z
outweighs	ˈa ʊ t w ˌe ɪ z
oval	ˈo ʊ v ə l
oven	ˈʌ v ə n
over	ˈo ʊ v ɚ
overdrive	ˈo ʊ v ɚ d ɹ ˌa ɪ v
overhanging	ˈo ʊ v ɚ h ˌæ ŋ ɪ ŋ
overhead	ˌo ʊ v ɚ h ˈɛ d
overnight	ˈo ʊ v ɚ n ˈa ɪ t
overturn	ˈo ʊ v ɚ t ˌɚ n
overturns	ˈo ʊ v ɚ t ˌɚ n z
ow	ˈa ʊ
owe	ˈo ʊ
owed	ˈo ʊ d
owl	ˈa ʊ l
owls	ˈa ʊ l z
own	ˈo ʊ n
owner	ˈo ʊ n ɚ
ownership	ˈo ʊ n ɚ ʃ ˌɪ p
owns	ˈo ʊ n z
oww	ˈa ʊ
oxygen	ˈɑ k s s ɪ d͡ʒ ə n
p-h	p ˈi ˈe ɪ t͡ʃ
pa	p ˈɑ
pa's	p ˈɑ z
pace	p ˈe ɪ s
paces	p ˈe ɪ s ə z
pacing	p ˈe ɪ s ɪ ŋ
pack	p ˈæ k
packed	p ˈæ k t
packet	p ˈæ k ɪ t
packets	p ˈæ k ɪ t s
packs	p ˈæ k s
pad	p ˈæ d
padded	p ˈæ d ɪ d
paddock	p ˈæ d ə k
pademelon	p ˈe ɪ d ɪ m ə l ə n
pads	p ˈæ d z
page	p ˈe ɪ d͡ʒ
pages	p ˈe ɪ d͡ʒ ɪ z
paid	p ˈe ɪ d
pail	p ˈe ɪ l
pails	p ˈe ɪ l z
pain	p ˈe ɪ n
pained	p ˈe ɪ n d
paint	p ˈe ɪ n t
paintbrush	p ˈe ɪ n t b ɹ ˌʌ ʃ
painted	p ˈe ɪ n t ɪ d
painter	p ˈe ɪ n t ɚ
painters	p ˈe ɪ n t ɚ z
painting	p ˈe ɪ n t ɪ ŋ
paintings	p ˈe ɪ n t ɪ ŋ z
paints	p ˈe ɪ n t s
pair	p ˈɛ ɹ
pairs	p ˈɛ ɹ z
pal	p ˈæ l
palace	p ˈæ l ɪ s
pale	p ˈe ɪ l
pales	p ˈe ɪ l z
palm	p ˈɑ m
pals	p ˈæ l z
pam	p ˈæ m
pan	p ˈæ n
panda	p ˈæ n d ə
pandas	p ˈæ n d ə z
pang	p ˈæ ŋ
pangolin	p ˈæ ŋ ɡ ˈo ʊ l ə n
pangs	p ˈæ ŋ z
panha	p ˈæ n h ə
panic	p ˈæ n ɪ k
panicked	p ˈæ n ɪ k t
panicking	p ˈæ n ɪ k ɪ ŋ
pans	p ˈæ n z
pant	p ˈæ n t
panthers	p ˈæ n θ ɚ z
panting	p ˈæ n t ɪ ŋ
pants	p ˈæ n t s
paper	p ˈe ɪ p ɚ
papercraft	p ˈe ɪ p ɚ k ɹ ˌæ f t
papers	p ˈe ɪ p ɚ z
papillon	p ˈæ p ˈɪ l l ə n
papua	p ˈæ p ˈu ə
parade	p ɚ ɹ ˈe ɪ d
paradise	p ˈɛ ɹ ə d ˌa ɪ s
parakeet	p ˈɛ ɹ ə k ˌi t
paramedic	p ˌɛ ɹ ə m ˈɛ d ɪ k
paramedics	p ˌɛ ɹ ə m ˈɛ d ɪ k s
parcel	p ˈɑ ɹ s ə l
parcels	p ˈɑ ɹ s ə l z
parchment	p ˈɑ ɹ t͡ʃ m ə n t
parent	p ˈɛ ɹ ə n t
parents	p ˈɛ ɹ ə n t s
park	p ˈɑ ɹ k
parking	p ˈɑ ɹ k ɪ ŋ
parks	p ˈɑ ɹ k s
parrot	p ˈɛ ɹ ə t
parrots	p ˈɛ ɹ ə t s
part	p ˈɑ ɹ t
partheno	p ˈɑ ɹ θ ə n ˈo ʊ
parthenogenesis	p ˈɑ ɹ θ ə n ˈo ʊ d͡ʒ ɛ n ə s ə s
participant	p ɑ ɹ t ˈɪ s ə p ə n t
participants	p ɑ ɹ t ˈɪ s ɪ p ə n t s
particular	p ɚ t ˈɪ k j ə l ɚ
particularly	p ɚ t ˈɪ k j ə l ɚ l i
parts	p ˈɑ ɹ t s
party	p ˈɑ ɹ t i
pas	p ˈɑ z
pass	p ˈæ s
passage	p ˈæ s ɪ d͡ʒ
passed	p ˈæ s t
passes	p ˈæ s ɪ z
passing	p ˈɑ s ˌi ŋ
passion	p ˈæ ʃ ə n
passive	p ˈæ s ɪ v
passport	p ˈæ s p ˌɔ ɹ t
past	p ˈæ s t
paste	p ˈe ɪ s t
pasting	p ˈe ɪ s t ɪ ŋ
pasty	p ˈæ s t i
pat	p ˈæ t
patch	p ˈæ t͡ʃ
patched	p ˈæ t͡ʃ t
patches	p ˈæ t͡ʃ ɪ z
patchy	p ˈæ t͡ʃ i
path	p ˈæ θ
paths	p ˈæ θ s
patient	p ˈe ɪ ʃ ə n t
patiently	p ˈe ɪ ʃ ə n t l i
patients	p ˈe ɪ ʃ ə n t s
patrol	p ə t ɹ ˈo ʊ l
patrolling	p ə t ɹ ˈo ʊ l i ŋ
pats	p ˈæ t s
patted	p ˈæ t ə d
patter	p ˈæ t ɚ
pattern	p ˈæ t ɚ n
patterns	p ˈæ t ɚ n z
paul	p ˈɔ l
paul's	p ˈɔ l z
pauper	p ˈɔ p ɚ
pause	p ˈɔ z
paving	p ˈe ɪ v ɪ ŋ
paw	p ˈɔ
pawpaw	p ˈɔ p ˌɔ
paws	p ˈɔ z
pay	p ˈe ɪ
paying	p ˈe ɪ ɪ ŋ
payment	p ˈe ɪ m ə n t
pays	p ˈe ɪ z
pea	p ˈi
peace	p ˈi s
peaceful	p ˈi s f ə l
peacefully	p ˈi s f ə l i
peacock	p ˈi k ˌɑ k
peacocks	p ˌi k ɑ k s
peafowl	p ˈi f ˌa ʊ l
peahens	p ˈi h ə n z
peak	p ˈi k
pearl	p ˈɚ l
pearls	p ˈɚ l z
peck	p ˈɛ k
pecked	p ˈɛ k t
pecking	p ˈɛ k ɪ ŋ
pecks	p ˈɛ k s
pee	p ˈi
peek	p ˈi k
peeking	p ˈi k ɪ ŋ
peeks	p ˌi k s
peel	p ˈi l
peeling	p ˈi l ɪ ŋ
peep	p ˈi p
peer	p ˈɪ ɹ
peered	p ˈɪ ɹ d
peerless	p ˈɪ ɹ l ə s
peers	p ˈɪ ɹ z
peg	p ˈɛ ɡ
pellet	p ˈɛ l ɪ t
pellets	p ˈɛ l ɪ t s
pelt	p ˈɛ l t
pelting	p ˈɛ l t ɪ ŋ
pelts	p ˈɛ l t s
pen	p ˈɛ n
pencil	p ˈɛ n s ə l
pencils	p ˈɛ n s ə l z
penguins	p ˈɛ ŋ ɡ w ə n z
pens	p ˈɛ n z
people	p ˈi p ə l
people's	p ˈi p ə l z
peoples	p ˈi p ə l z
pep	p ˈɛ p
pep's	p ˌɛ p s
pepper	p ˈɛ p ɚ
per	p ˈɚ
perceived	p ɚ s ˈi v d
perceiving	p ɚ s ˈi v ɪ ŋ
percentage	p ɚ s ˈɛ n t ɪ d͡ʒ
perch	p ˈɚ t͡ʃ
perfect	p ˈɚ f ɛ k t
perfectly	p ˈɚ f ə k t l i
perform	p ɚ f ˈɔ ɹ m
perfume	p ɚ f j ˈu m
perhaps	p ɚ h ˈæ p s
peril	p ˈɛ ɹ ɹ ə l
perk	p ˈɚ k
perks	p ˈɚ k s
permission	p ɚ m ˈɪ ʃ ə n
permissions	p ɚ m ˈɪ ʃ ə n z
persian	p ˈɚ ʒ ə n
persistent	p ɚ s ˈɪ s t ə n t
person	p ˈɚ s ə n
personal	p ˈɚ s ə n ə l
personality	p ˌɚ s ə n ˈæ l ɪ t i
personals	p ˈɚ s ɪ n ɪ l z
persons	p ˈɚ s ə n z
persuasion	p ɚ s w ˈe ɪ ʒ ə n
pesky	p ˈɛ s k i
pest	p ˈɛ s t
pester	p ˈɛ s t ɚ
pests	p ˈɛ s t s
pet	p ˈɛ t
pet's	p ˈɛ t s
petal	p ˈɛ t ə l
petals	p ˈɛ t ə l z
peter's	p ˈi t ɚ z
petri	p ˈɛ t ɹ i
pets	p ˈɛ t s
phantom	f æ n t ə m
phantoms	f æ n t ə m z
phase	f ˈe ɪ z
phases	f ˈe ɪ z ɪ z
pheasant	f ˈɛ z ə n t
pheasant's	f ˈɛ z ə n t s
pheasants	f ɛ z ə n t s
phew	f j ˈu
phobias	f ˈo ʊ b i ə z
phone	f ˈo ʊ n
phonics	f o ʊ n ɪ k s
phony	f ˈo ʊ n i
photo	f ˈo ʊ t o ʊ
photograph	f ˈo ʊ t ə ɡ ɹ ˌæ f
photographs	f ˈo ʊ t ə ɡ ɹ ˌæ f s
photos	f ˈo ʊ t o ʊ z
physical	f ˈɪ z ɪ k ə l
pic	p ˈɪ k
pick	p ˈɪ k
pickaxe	p ˈɪ k ˈæ k s
pickaxes	p ˈɪ k ˈæ k s ɪ z
picked	p ˈɪ k t
picking	p ˈɪ k ɪ ŋ
picks	p ˈɪ k s
picnic	p ˈɪ k n ˌɪ k
picture	p ˈɪ k t͡ʃ ɚ
pictures	p ˈɪ k t͡ʃ ɚ z
pie	p ˈa ɪ
piece	p ˈi s
pieces	p ˈi s ɪ z
pies	p a ɪ z
pig	p ˈɪ ɡ
pigeon	p ˈɪ d͡ʒ ɪ n
pigeons	p ˈɪ d͡ʒ ɪ n z
piggy	p ˈɪ ɡ ɡ i
piggyback	p ˈɪ ɡ i b ˌæ k
piglet	p ˈɪ ɡ l ɪ t
pigment	p ˈɪ ɡ m ə n t
pigs	p ˈɪ ɡ z
pigtail	p ˈɪ ɡ t ˌe ɪ l
pigtail's	p ˈɪ ɡ t ˈe ɪ l z
pigtails	p ˈɪ ɡ t ˌe ɪ l z
pile	p ˈa ɪ l
piles	p ˈa ɪ l z
piling	p ˈa ɪ l ɪ ŋ
pillager	p ˈɪ l ɪ d͡ʒ ɚ
pillager's	p ˈɪ l ɪ d͡ʒ ɚ z
pillagers	p ˈɪ l ɪ d͡ʒ ɚ z
pillow	p ˈɪ l o ʊ
pillows	p ˈɪ l o ʊ z
pilot	p ˈa ɪ l ə t
pin	p ˈɪ n
pinch	p ˈɪ n t͡ʃ
pinches	p ˈɪ n t͡ʃ ə z
pineapple	p ˈa ɪ n ˌæ p ə l
pink	p ˈɪ ŋ k
pinkie	p ˈɪ n k ˈi
pinpoint	p ˈɪ n p ˌɔ ɪ n t
pins	p ˈɪ n z
pip	p ˈɪ p
pip's	p ˈɪ p s
pipe	p ˈa ɪ p
piped	p ˈa ɪ p t
pipes	p ˈa ɪ p s
pistons	p ˈɪ s t ə n s
pit	p ˈɪ t
pitch	p ˈɪ t͡ʃ
pitched	p ɪ t͡ʃ d
pitches	p ˈɪ t͡ʃ ɪ z
pitchfork	p ˈɪ t͡ʃ f ˌɔ ɹ k
pitchforks	p ˈɪ t͡ʃ f ˌɔ ɹ k s
pits	p ˈɪ t s
pixie	p ˈɪ k s i
pixies	p ˈɪ k s i z
pizza	p ˈi t s ə
placate	p l ˈe ɪ k e ɪ t
placates	p l ˈæ k ˌe ɪ t s
place	p l ˈe ɪ s
placed	p l ˈe ɪ s t
places	p l ˈe ɪ s ɪ z
plain	p l ˈe ɪ n
plains	p l ˈe ɪ n z
plan	p l ˈæ n
plane	p l ˈe ɪ n
planes	p l ˈe ɪ n z
planet	p l ˈæ n ə t
planet's	p l ˈæ n ə t s
planets	p l ˈæ n ə t s
plank	p l ˈæ ŋ k
planks	p l ˈæ ŋ k s
planned	p l ˈæ n d
planning	p l ˈæ n ɪ ŋ
plans	p l ˈæ n z
plant	p l ˈæ n t
plant-eating	p l ˈæ n t ˈi t ɪ ŋ
planted	p l ˈæ n t ɪ d
planter	p l ˈæ n t ɚ
planting	p l æ n t ˈɪ ŋ
plants	p l ˈæ n t s
plastic	p l ˈæ s t ɪ k
plastics	p l ˈæ s t ɪ k s
plate	p l ˈe ɪ t
plates	p l ˈe ɪ t s
platform	p l ˈæ t f ˌɔ ɹ m
play	p l ˈe ɪ
played	p l ˈe ɪ d
players	p l ˈe ɪ ɚ z
playful	p l ˈe ɪ f ə l
playground	p l ˈe ɪ ɡ ɹ ˌa ʊ n d
playing	p l ˈe ɪ ɪ ŋ
plays	p l ˈe ɪ z
pleasant	p l ˈɛ z ə n t
please	p l ˈi z
pleased	p l ˈi z d
pleasure	p l ˈɛ ʒ ɚ
plenty	p l ˈɛ n t i
plight	p l ˈa ɪ t
plodded	p l ɑ d ə d
plonk	p l ˈɑ ŋ k
plop	p l ˈɑ p
plops	p l ˈɑ p s
plot	p l ˈɑ t
plots	p l ˈɑ t s
plough	p l ˈa ʊ
ploy	p l ˈɔ ɪ
pluck	p l ˈʌ k
plucked	p l ˈʌ k t
plucking	p l ˈʌ k ɪ ŋ
plucks	p l ˈʌ k s
plug	p l ˈʌ ɡ
plugs	p l ˈʌ ɡ z
plump	p l ˈʌ m p
plumps	p l ˈʌ m p s
plural	p l ˈʊ ɹ ə l
plural	p l ˈʊ ɹ ə l
plurals	p l ˈʊ ɹ ə l z
plus	p l ˈʌ s
pluto	p l ˈu t o ʊ
pluto's	p l ˈu t o ʊ z
pocket	p ˈɑ k ə t
pockets	p ˈɑ k ə t s
pod	p ˈɑ d
podcasts	p ˈɑ d k ˌæ s t s
pods	p ˈɑ d z
point	p ˈɔ ɪ n t
pointed	p ˈɔ ɪ n t ɪ d
pointing	p ˈɔ ɪ n t ɪ ŋ
points	p ˈɔ ɪ n t s
poison	p ˈɔ ɪ z ə n
poisonous	p ˈɔ ɪ z ə n ə s
poke	p ˈo ʊ k
poked	p ˈo ʊ k t
pokey	p ˈo ʊ k ˈi
poking	p ˈo ʊ k ɪ ŋ
polar	p ˈo ʊ l ɚ
police	p ə l ˈi s
policeman	p ə l ˈi s m ə n
polished	p ˈɑ l ɪ ʃ t
politely	p ə l ˈa ɪ t l i
politest	p ə l a ɪ t ɪ s t
pollen	p ˈɑ l ə n
pollinate	p ˈɑ l ə n ˌe ɪ t
pollinating	p ˈɑ l ɪ n ˌe ɪ t ɪ ŋ
polluted	p ə l ˈu t ɪ d
pollution	p ə l ˈu ʃ ə n
pond	p ˈɑ n d
ponds	p ˈɑ n d z
pong	p ˈɔ ŋ
pontificate	p ɑ n t ˈɪ f ɪ k ˌe ɪ t
pontificate	p ɑ n t ˈɪ f ɪ k ɪ t
pontificates	p ɑ n t ˈɪ f ɪ k ˌe ɪ t s
pontificates	p ɑ n t ˈɪ f ɪ k ɪ t s
poo	p ˈu
poodle	p ˈu d ə l
pool	p ˈu l
pools	p ˈu l z
poop	p ˈu p
pooped	p ˈu p t
poops	p ˈu p s
poor	p ˈʊ ɹ
pop	p ˈɑ p
popped	p ˈɑ p t
pops	p ˈɑ p s
popular	p ˈɑ p j ə l ɚ
porch	p ˈɔ ɹ t͡ʃ
porcupine	p ˈɔ ɹ k j ə p ˌa ɪ n
pork	p ˈɔ ɹ k
porkchops	p ˈɔ k t͡ʃ ɑ p s
portal	p ɔ t l
portals	p ˈɔ t ə l z
portion	p ˈɔ ɹ ʃ ə n
portions	p ˈɔ ɹ ʃ ə n z
pose	p ˈo ʊ z
posing	p ˈo ʊ z ɪ ŋ
position	p ə z ˈɪ ʃ ə n
positioned	p ə z ˈɪ ʃ ə n d
positive	p ˈɑ z ɪ t ɪ v
possible	p ˈɑ s ə b ə l
possibly	p ˈɑ s ə b l i
possum	p ˈɑ s ə m
post	p ˈo ʊ s t
poster	p ˈo ʊ s t ɚ
posts	p ˈo ʊ s t s
pot	p ˈɑ t
potato	p ə t ˈe ɪ t o ʊ
potatoes	p ə t ˈe ɪ t o ʊ z
potion	p ˈo ʊ ʃ ə n
potions	p ˌo ʊ ʃ ə n z
pots	p ˈɑ t s
potted	p ˌɑ t ə d
pouch	p ˈa ʊ t͡ʃ
pounds	p ˈa ʊ n d z
pour	p ˈɔ ɹ
poured	p ˈɔ ɹ d
pouring	p ˈɔ ɹ ɪ ŋ
pours	p ɔ ɹ z
pout	p ˈa ʊ t
powder	p a ʊ d ə
power	p ˈa ʊ ɚ
powered	p a ʊ w ə ɹ d
powered	p a ʊ w ə ɹ d
powerful	p ˈa ʊ ɚ f ə l
practice	p ɹ ˈæ k t ɪ s
practiced	p ɹ ˈæ k t ɪ s t
practicing	p ɹ ˈæ k t ɪ s ɪ ŋ
practise	p ɹ ˈæ k t ɪ s
practising	p ɹ ˈæ k t ɪ s ɪ ŋ
praise	p ɹ ˈe ɪ z
praised	p ɹ ˈe ɪ z d
praises	p ɹ ˈe ɪ z ɪ z
prank	p ɹ ˈæ ŋ k
pranks	p ɹ ˈæ ŋ k s
prayers	p ɹ ˈɛ ɹ z
preceded	p ɹ ɪ s ˈi d ɪ d
precious	p ɹ ˈɛ ʃ ə s
precipitation	p ɹ ɪ s ˌɪ p ɪ t ˈe ɪ ʃ ə n
precision	p ɹ i s ˈɪ ʒ ə n
predator	p ɹ ˈɛ d ə t ɚ
predators	p ɹ ˈɛ d ə t ɚ z
predicate	p ɹ ˈɛ d ɪ k ɪ t
predicate	p ɹ ˈɛ d ɪ k ˌe ɪ t
predicates	p ɹ ˈɛ d ɪ k ɪ t s
predicates	p ɹ ˈɛ d ɪ k ˌe ɪ t s
predict	p ɹ ɪ d ˈɪ k t
preen	p ɹ ˈi n
preens	p ɹ ˈi n z
prefer	p ɹ ɪ f ˈɚ
preferred	p ɹ ɪ f ˈɚ d
preferring	p ɹ ə f ɛ ɹ ɪ ŋ
prefixes	p ɹ ˈi f ɪ k s ə z
pregnant	p ɹ ˈɛ ɡ n ə n t
preheat	p ɹ i h ˈi t
preheats	p ɹ ˈi h ˈi t s
premium	p ɹ ˈi m i ə m
premiums	p ɹ ˈi m i ə m z
prepare	p ɹ i p ˈɛ ɹ
prepared	p ɹ i p ˈɛ ɹ d
preparing	p ɚ p ˈɛ ɹ ɪ ŋ
preschool	p ɹ i s k u l
presence	p ɹ ˈɛ z ə n s
present	p ɹ ˈɛ z ə n t
present	p ɹ ɪ z ˈɛ n t
presents	p ɹ ˈɛ z ə n t s
presents	p ɹ ɪ z ˈɛ n t s
presents	p ɹ ɪ z ˈɛ n t s
preserved	p ɹ ɪ z ˈɚ v d
press	p ɹ ˈɛ s
